Sentence (mandatory)	Source (mandatory)	Additional rationale for open license (mandatory)	Sentence Quality Assurance Feedback: leave blank, for internal use	Domain (optional)	Variant (optional, where applicable)
The cat was sitin on the windowsill.	Duy Hung (self)	My own submission, copyright waived					
The 3 elephants were playing in the mud	Duy Hung (self)	My own submission, copyright waived					
Trời hôm nay nắng đẹp.	Duy Hung (self)	My own submission, copyright waived					
Tôi thích ăn cơm gà.	Duy Hung (self)	My own submission, copyright waived					
Chó nhà tôi rất dễ thương.	Duy Hung (self)	My own submission, copyright waived					
Cây bàng trước cửa nhà rụng lá.	Duy Hung (self)	My own submission, copyright waived					
Hoa sen nở trong đầm.	Duy Hung (self)	My own submission, copyright waived					
Bạn học giỏi môn toán không?	Duy Hung (self)	My own submission, copyright waived					
Mẹ tôi đang nấu ăn.	Duy Hung (self)	My own submission, copyright waived					
Tôi thích đi dạo bên biển.	Duy Hung (self)	My own submission, copyright waived					
Bức tranh này rất đẹp.	Duy Hung (self)	My own submission, copyright waived					
Anh ấy đang đọc sách.	Duy Hung (self)	My own submission, copyright waived					
Con mèo ngủ trên ghế sofa.	Duy Hung (self)	My own submission, copyright waived					
Bầu trời xanh thẳm.	Duy Hung (self)	My own submission, copyright waived					
Tôi yêu mùa thu.	Duy Hung (self)	My own submission, copyright waived					
Lớp học yên tĩnh.	Duy Hung (self)	My own submission, copyright waived					
Cây xanh giúp thanh lọc không khí.	Duy Hung (self)	My own submission, copyright waived					
Chúng ta cùng đi xem phim nhé!	Duy Hung (self)	My own submission, copyright waived					
Cô ấy hát rất hay.	Duy Hung (self)	My own submission, copyright waived					
Tôi thích uống cà phê.	Duy Hung (self)	My own submission, copyright waived					
Quả táo này rất ngọt.	Duy Hung (self)	My own submission, copyright waived					
Cơn mưa làm mát không khí.	Duy Hung (self)	My own submission, copyright waived					
Tôi vừa mua một chiếc áo mới.	Duy Hung (self)	My own submission, copyright waived					
Trẻ em vui chơi trong công viên.	Duy Hung (self)	My own submission, copyright waived					
Anh ấy thích chạy bộ buổi sáng.	Duy Hung (self)	My own submission, copyright waived					
Cô giáo đang giảng bài.	Duy Hung (self)	My own submission, copyright waived					
Tôi muốn học thêm tiếng Anh.	Duy Hung (self)	My own submission, copyright waived					
Bông hoa hồng thơm ngát.	Duy Hung (self)	My own submission, copyright waived					
Nhà tôi ở gần siêu thị.	Duy Hung (self)	My own submission, copyright waived					
Tôi thích ngắm hoàng hôn.	Duy Hung (self)	My own submission, copyright waived					
Cuốn sách này rất thú vị.	Duy Hung (self)	My own submission, copyright waived					
Mùa hè thật oi bức.	Duy Hung (self)	My own submission, copyright waived					
Bánh mì kẹp thịt ngon lắm.	Duy Hung (self)	My own submission, copyright waived					
Em bé cười rất đáng yêu.	Duy Hung (self)	My own submission, copyright waived					
Tôi cần mua một chiếc điện thoại mới.	Duy Hung (self)	My own submission, copyright waived					
Chúng tôi đi chợ mua rau.	Duy Hung (self)	My own submission, copyright waived					
Bạn có thích chơi thể thao không?	Duy Hung (self)	My own submission, copyright waived					
Hôm nay là ngày đặc biệt.	Duy Hung (self)	My own submission, copyright waived					
Tôi thích vẽ tranh.	Duy Hung (self)	My own submission, copyright waived					
Anh ấy làm việc rất chăm chỉ.	Duy Hung (self)	My own submission, copyright waived					
Trà xanh tốt cho sức khỏe.	Duy Hung (self)	My own submission, copyright waived					
Mưa rơi lách tách ngoài hiên.	Duy Hung (self)	My own submission, copyright waived					
Tôi muốn học thêm về nấu ăn.	Duy Hung (self)	My own submission, copyright waived					
Xe đạp thân thiện với môi trường.	Duy Hung (self)	My own submission, copyright waived					
Cô ấy đang tập yoga.	Duy Hung (self)	My own submission, copyright waived					
Tôi muốn đi du lịch Nhật Bản.	Duy Hung (self)	My own submission, copyright waived					
Cuộc sống là một hành trình.	Duy Hung (self)	My own submission, copyright waived					
Nắng vàng rực rỡ trên cánh đồng.	Duy Hung (self)	My own submission, copyright waived					
Tôi đang học tiếng Nhật.	Duy Hung (self)	My own submission, copyright waived					
Bài hát này rất bắt tai.	Duy Hung (self)	My own submission, copyright waived					
Tôi yêu những bông hoa dại.	Duy Hung (self)	My own submission, copyright waived					
Lũ chim ríu rít trên cành cây.	Duy Hung (self)	My own submission, copyright waived					